U_Daerah_ID,Daerah,Kod_Daerah,U_Negeri_ID,status
0000,TIADA DAERAH,0,99,1
0101,BATU PAHAT,1,01,1
0102,JOHOR BAHRU,2,01,1
0103,KLUANG,3,01,1
0104,KOTA TINGGI,4,01,1
0105,MERSING,5,01,1
0106,MUAR,6,01,1
0107,PONTIAN,7,01,1
0108,SEGAMAT,8,01,1
0121,KULAI,21,01,1
0122,TANGKAK,22,01,1
0201,KOTA SETAR,1,02,1
0202,KUBANG PASU,2,02,1
0203,PADANG TERAP,3,02,1
0204,LANGKAWI,4,02,1
0205,KUALA MUDA,5,02,1
0206,YAN,6,02,1
0207,SIK,7,02,1
0208,BALING,8,02,1
0209,KULIM,9,02,1
0210,BANDAR BAHARU,10,02,1
0211,PENDANG,11,02,1
0212,POKOK SENA,12,02,1
0301,BACHOK,1,03,1
0302,KOTA BHARU,2,03,1
0303,MACHANG,3,03,1
0304,PASIR MAS,4,03,1
0305,PASIR PUTEH,5,03,1
0306,TANAH MERAH,6,03,1
0307,TUMPAT,7,03,1
0308,GUA MUSANG,8,03,1
0310,KUALA KRAI,10,03,1
0311,JELI,11,03,1
0312,KECIL LOJING,12,03,1
0401,MELAKA TENGAH,1,04,1
0402,JASIN,2,04,1
0403,ALOR GAJAH,3,04,1
0501,JELEBU,1,05,1
0502,KUALA PILAH,2,05,1
0503,PORT DICKSON ,3,05,1
0504,REMBAU,4,05,1
0505,SEREMBAN,5,05,1
0506,TAMPIN,6,05,1
0507,JEMPOL,7,05,1
0601,BENTONG,1,06,1
0602,CAMERON HIGHLANDS,2,06,1
0603,JERANTUT,3,06,1
0604,KUANTAN,4,06,1
0605,LIPIS,5,06,1
0606,PEKAN,6,06,1
0607,RAUB,7,06,1
0608,TEMERLOH,8,06,1
0609,ROMPIN,9,06,1
0610,MARAN,10,06,1
0611,BERA,11,06,1
0701,SEBERANG PERAI TENGAH,1,07,1
0702,SEBERANG PERAI UTARA,2,07,1
0703,SEBERANG PERAI SELATAN,3,07,1
0704,TIMOR LAUT ,4,07,1
0705,BARAT DAYA,5,07,1
0801,BATANG PADANG,1,08,1
0802,MANJUNG,2,08,1
0803,KINTA,3,08,1
0804,KERIAN,4,08,1
0805,KUALA KANGSAR,5,08,1
0806,LARUT & MATANG,6,08,1
0807,HILIR PERAK,7,08,1
0808,HULU PERAK,8,08,1
0809,SELAMA,9,08,1
0810,PERAK TENGAH,10,08,1
0811,KAMPAR,11,08,1
0812,MUALLIM,12,08,1
0813,BAGAN DATUK,13,08,1
0900,TIADA DAERAH,0,09,1
1001,KLANG,1,10,1
1002,KUALA LANGAT,2,10,1
1004,KUALA SELANGOR,4,10,1
1005,SABAK BERNAM,5,10,1
1006,ULU LANGAT,6,10,1
1007,ULU SELANGOR,7,10,1
1008,PETALING,8,10,1
1009,GOMBAK,9,10,1
1010,SEPANG,10,10,1
1101,BESUT,1,11,1
1102,DUNGUN,2,11,1
1103,KEMAMAN,3,11,1
1104,KUALA TERENGGANU,4,11,1
1105,HULU TERENGGANU,5,11,1
1106,MARANG,6,11,1
1107,SETIU,7,11,1
1108,KUALA NERUS,8,11,1
1201,KOTA KINABALU,1,12,1
1202,PAPAR ,2,12,1
1203,KOTA BELUD,3,12,1
1204,TUARAN,4,12,1
1205,KUDAT,5,12,1
1206,RANAU,6,12,1
1207,SANDAKAN,7,12,1
1208,LABUK & SUGUT ,8,12,1
1209,KINABATANGAN,9,12,1
1210,TAWAU,10,12,1
1211,LAHAD DATU,11,12,1
1212,SEMPORNA,12,12,1
1213,KENINGAU,13,12,1
1214,TAMBUNAN,14,12,1
1215,PENSIANGAN,15,12,1
1216,TENOM,16,12,1
1217,BEAUFORT,17,12,1
1218,KUALA PENYU,18,12,1
1219,SIPITANG,19,12,1
1221,PENAMPANG,21,12,1
1222,KOTA MARUDU,22,12,1
1223,PITAS,23,12,1
1224,KUNAK,24,12,1
1225,TONGOD,25,12,1
1226,PUTATAN,26,12,1
1301,KUCHING,1,13,1
1302,SRI AMAN,2,13,1
1303,SIBU,3,13,1
1304,MIRI,4,13,1
1305,LIMBANG,5,13,1
1306,SARIKEI,6,13,1
1307,KAPIT,7,13,1
1308,SAMARAHAN,8,13,1
1309,BINTULU,9,13,1
1310,MUKAH,10,13,1
1311,BETONG,11,13,1
1400,TIADA DAERAH,0,14,1
1500,WILAYAH PERSEKUTUAN LABUAN,0,15,1
1601,PUTRAJAYA,1,16,1
