U_Dun_ID,Dun,U_Parlimen_ID,Kod_Dun,Kod_Parlimen,Kod_Negeri,Kod_Dun2
01140001,BULOH KASAP,01140,140001,140,01,001
01140002,JEMENTAH,01140,140002,140,01,002
01141003,PEMANIS,01141,141003,141,01,003
01141004,KEMELAH,01141,141004,141,01,004
01142005,TENANG,01142,142005,142,01,005
01142006,BEKOK,01142,142006,142,01,006
01143007,BUKIT SERAMPANG,01143,143007,143,01,007
01143008,JORAK,01143,143008,143,01,008
01144009,GAMBIR,01144,144009,144,01,009
01144010,TANGKAK,01144,144010,144,01,010
01144011,SEROM,01144,144011,144,01,011
01145012,BENTAYAN,01145,145012,145,01,012
01145013,SUNGAI ABONG,01145,145013,145,01,013
01145014,BUKIT NANING,01145,145014,145,01,014
01146015,MAHARANI,01146,146015,146,01,015
01146016,SUNGAI BALANG,01146,146016,146,01,016
01147017,SEMERAH,01147,147017,147,01,017
01147018,SRI MEDAN,01147,147018,147,01,018
01148019,YONG PENG,01148,148019,148,01,019
01148020,SEMARANG,01148,148020,148,01,020
01149021,PARIT YAANI,01149,149021,149,01,021
01149022,PARIT RAJA,01149,149022,149,01,022
01150023,PENGGARAM,01150,150023,150,01,023
01150024,SENGGARANG,01150,150024,150,01,024
01150025,RENGIT,01150,150025,150,01,025
01151026,MACHAP,01151,151026,151,01,026
01151027,LAYANG-LAYANG,01151,151027,151,01,027
01152028,MENGKIBOL,01152,152028,152,01,028
01152029,MAHKOTA,01152,152029,152,01,029
01153030,PALOH,01153,153030,153,01,030
01153031,KAHANG,01153,153031,153,01,031
01154032,ENDAU,01154,154032,154,01,032
01154033,TENGGAROH,01154,154033,154,01,033
01155034,PANTI,01155,155034,155,01,034
01155035,PASIR RAJA,01155,155035,155,01,035
01156036,SEDILI,01156,156036,156,01,036
01156037,JOHOR LAMA,01156,156037,156,01,037
01157038,PENAWAR,01157,157038,157,01,038
01157039,TANJONG SURAT,01157,157039,157,01,039
01158040,TIRAM,01158,158040,158,01,040
01158041,PUTERI WANGSA,01158,158041,158,01,041
01159042,JOHOR JAYA,01159,159042,159,01,042
01159043,PERMAS,01159,159043,159,01,043
01160044,TANJONG PUTERI,01160,160044,160,01,044
01160045,STULANG,01160,160045,160,01,045
01161046,PENGKALAN RINTING,01161,161046,161,01,046
01161047,KEMPAS,01161,161047,161,01,047
01162048,SKUDAI,01162,162048,162,01,048
01162049,NUSA JAYA,01162,162049,162,01,049
01163050,BUKIT PERMAI,01163,163050,163,01,050
01163051,BUKIT BATU,01163,163051,163,01,051
01163052,SENAI,01163,163052,163,01,052
01164053,BENUT,01164,164053,164,01,053
01164054,PULAI SEBATANG,01164,164054,164,01,054
01165055,PEKAN NENAS,01165,165055,165,01,055
01165056,KUKUP,01165,165056,165,01,056
02004001,AYER HANGAT,02004,004001,004,02,001
02004002,KUAH,02004,004002,004,02,002
02005003,KOTA SIPUTEH,02005,005003,005,02,003
02005004,AYER HITAM,02005,005004,005,02,004
02006005,BUKIT KAYU HITAM,02006,006005,006,02,005
02006006,JITRA,02006,006006,006,02,006
02007007,KUALA NERANG,02007,007007,007,02,007
02007008,PEDU,02007,007008,007,02,008
02008009,BUKIT LADA,02008,008009,008,02,009
02008010,BUKIT PINANG,02008,008010,008,02,010
02008011,DERGA,02008,008011,008,02,011
02009012,BAKAR BATA,02009,009012,009,02,012
02009013,KOTA DARUL AMAN,02009,009013,009,02,013
02009014,ALOR MENGKUDU,02009,009014,009,02,014
02010015,ANAK BUKIT,02010,010015,010,02,015
02010016,KUBANG ROTAN,02010,010016,010,02,016
02010017,PENGKALAN KUNDOR,02010,010017,010,02,017
02011018,TOKAI,02011,011018,011,02,018
02011019,SUNGAI TIANG,02011,011019,011,02,019
02012020,SUNGAI LIMAU,02012,012020,012,02,020
02012021,GUAR CHEMPEDAK,02012,012021,012,02,021
02012022,GURUN,02012,012022,012,02,022
02013023,BELANTEK,02013,013023,013,02,023
02013024,JENERI,02013,013024,013,02,024
02014025,BUKIT SELAMBAU,02014,014025,014,02,025
02014026,TANJONG DAWAI,02014,014026,014,02,026
02015027,PANTAI MERDEKA,02015,015027,015,02,027
02015028,BAKAR ARANG,02015,015028,015,02,028
02015029,SIDAM,02015,015029,015,02,029
02016030,BAYU,02016,016030,016,02,030
02016031,KUPANG,02016,016031,016,02,031
02016032,KUALA KETIL,02016,016032,016,02,032
02017033,MERBAU PULAS,02017,017033,017,02,033
02017034,LUNAS,02017,017034,017,02,034
02018035,KULIM,02018,018035,018,02,035
02018036,BANDAR BAHARU,02018,018036,018,02,036
03019001,PENGKALAN KUBOR,03019,019001,019,03,001
03019002,KELABORAN,03019,019002,019,03,002
03019003,PASIR PEKAN,03019,019003,019,03,003
03019004,WAKAF BHARU,03019,019004,019,03,004
03020005,KIJANG,03020,020005,020,03,005
03020006,CHEMPAKA,03020,020006,020,03,006
03020007,PANCHOR,03020,020007,020,03,007
03021008,TANJONG MAS,03021,021008,021,03,008
03021009,KOTA LAMA,03021,021009,021,03,009
03021010,BUNUT PAYONG,03021,021010,021,03,010
03022011,TENDONG,03022,022011,022,03,011
03022012,PENGKALAN PASIR,03022,022012,022,03,012
03022013,CHETOK,03022,022013,022,03,013
03023014,MERANTI,03023,023014,023,03,014
03023015,GUAL PERIOK,03023,023015,023,03,015
03023016,BUKIT TUKU,03023,023016,023,03,016
03024017,SALOR,03024,024017,024,03,017
03024018,PASIR TUMBOH,03024,024018,024,03,018
03024019,DEMIT,03024,024019,024,03,019
03025020,TAWANG,03025,025020,025,03,020
03025021,PERUPOK,03025,025021,025,03,021
03025022,JELAWAT,03025,025022,025,03,022
03026023,MELOR,03026,026023,026,03,023
03026024,KADOK,03026,026024,026,03,024
03026025,KOK LANAS,03026,026025,026,03,025
03027026,BUKIT PANAU,03027,027026,027,03,026
03027027,GUAL IPOH,03027,027027,027,03,027
03027028,KEMAHANG,03027,027028,027,03,028
03028029,SELISING,03028,028029,028,03,029
03028030,LIMBONGAN,03028,028030,028,03,030
03028031,SEMERAK,03028,028031,028,03,031
03028032,GAAL,03028,028032,028,03,032
03029033,PULAI CHONDONG,03029,029033,029,03,033
03029034,TEMANGAN,03029,029034,029,03,034
03029035,KEMUNING,03029,029035,029,03,035
03030036,BUKIT BUNGA,03030,030036,030,03,036
03030037,AIR LANAS,03030,030037,030,03,037
03030038,KUALA BALAH,03030,030038,030,03,038
03031039,MENGKEBANG,03031,031039,031,03,039
03031040,GUCHIL,03031,031040,031,03,040
03031041,MANEK URAI,03031,031041,031,03,041
03031042,DABONG,03031,031042,031,03,042
03032043,NENGGIRI,03032,032043,032,03,043
03032044,PALOH,03032,032044,032,03,044
