U_Mukim_ID,Mukim,Kod_Mukim,U_Negeri_ID,Kod_Negeri,U_Daerah_ID,Kod_Daerah,Stesen_kod,status
000000,TIADA MUKIM,00,99,99,0000,0,899299,1
010101,MUKIM BAGAN,1,01,1,0101,1,827301,1
010102,MUKIM CHAAH BAHRU,2,01,1,0101,1,827301,1
010103,MUKIM KAMPUNG BAHRU,3,01,1,0101,1,827302,1
010104,MUKIM LINAU,4,01,1,0101,1,827301,1
010105,MUKIM LUBOK,5,01,1,0101,1,827301,1
010106,MUKIM MINYAK BEKU,6,01,1,0101,1,827302,1
010107,MUKIM PESERAI,7,01,1,0101,1,827301,1
010108,MUKIM SRI GADING,8,01,1,0101,1,827302,1
010109,MUKIM SRI MEDAN,9,01,1,0101,1,827303,1
010110,MUKIM SIMPANG KANAN,10,01,1,0101,1,827301,1
010111,MUKIM SIMPANG KIRI,11,01,1,0101,1,827301,1
010112,MUKIM SUNGAI KLUANG,12,01,1,0101,1,827302,1
010113,MUKIM SUNGAI PUNGGOR,13,01,1,0101,1,827302,1
010114,MUKIM TANJUNG SEMBRONG,14,01,1,0101,1,827301,1
010140,BANDAR AYER HITAM,40,01,1,0101,1,827302,1
010141,BANDAR BANDAR PENGGARAM,41,01,1,0101,1,827302,1
010142,BANDAR RENGIT,42,01,1,0101,1,827302,1
010143,BANDAR SENGGARANG,43,01,1,0101,1,827302,1
010144,BANDAR YONG PENG,44,01,1,0101,1,827301,1
010201,MUKIM JELUTONG,1,01,1,0102,2,827702,1
010202,MUKIM PLENTONG,2,01,1,0102,2,827702,1
010203,MUKIM PULAI,3,01,1,0102,2,827702,1
010206,MUKIM SUNGAI TIRAM,6,01,1,0102,2,827702,1
010207,MUKIM TANJUNG KUPANG,7,01,1,0102,2,827702,1
010208,MUKIM TEBRAU,8,01,1,0102,2,827702,1
010240,BANDAR JOHOR BAHRU,40,01,1,0102,2,827702,1
010242,BANDAR TEBRAU,42,01,1,0102,2,827702,1
010301,MUKIM ULU BENUT,1,01,1,0103,3,827602,1
010302,MUKIM KAHANG,2,01,1,0103,3,827603,1
010303,MUKIM KLUANG,3,01,1,0103,3,827601,1
010304,MUKIM LAYANG-LAYANG,4,01,1,0103,3,827602,1
010305,MUKIM MACHAP,5,01,1,0103,3,827602,1
010306,MUKIM NIYOR,6,01,1,0103,3,827601,1
010307,MUKIM PALOH,7,01,1,0103,3,827603,1
010308,MUKIM RENGAM,8,01,1,0103,3,827602,1
010340,BANDAR KLUANG,40,01,1,0103,3,827601,1
010341,BANDAR PALOH,41,01,1,0103,3,827603,1
010342,BANDAR RENGAM,42,01,1,0103,3,827602,1
010401,MUKIM ULU SUNGAI JOHOR,1,01,1,0104,4,827701,1
010402,MUKIM ULU SUNGEI SEDILI BESAR,2,01,1,0104,4,827701,1
