U_Parlimen_ID,Parlimen,U_Negeri_ID,Kod_Parlimen
01140,SEGAMAT,01,140
01141,SEKIJANG,01,141
01142,LABIS,01,142
01143,PAGOH,01,143
01144,LEDANG,01,144
01145,BAKRI,01,145
01146,MUAR,01,146
01147,PARIT SULONG,01,147
01148,AYER HITAM,01,148
01149,SRI GADING,01,149
01150,BATU PAHAT,01,150
01151,SIMPANG RENGGAM,01,151
01152,KLUANG,01,152
01153,SEMBRONG,01,153
01154,MERSING,01,154
01155,TENGGARA,01,155
01156,KOTA TINGGI,01,156
01157,PENGERANG,01,157
01158,TEBRAU,01,158
01159,PASIR GUDANG,01,159
01160,JOHOR BAHRU,01,160
01161,PULAI,01,161
01162,GELANG PATAH,01,162
01163,KULAI,01,163
01164,PONTIAN,01,164
01165,TANJONG PIAI,01,165
02004,LANGKAWI,02,004
02005,JERLUN,02,005
02006,KUBANG PASU,02,006
02007,PADANG TERAP,02,007
02008,POKOK SENA,02,008
02009,ALOR STAR,02,009
02010,KUALA KEDAH,02,010
02011,PENDANG,02,011
02012,JERAI,02,012
02013,SIK,02,013
02014,MERBOK,02,014
02015,SUNGAI PETANI,02,015
02016,BALING,02,016
02017,PADANG SERAI,02,017
02018,KULIM-BANDAR BAHARU,02,018
03019,TUMPAT,03,019
03020,PENGKALAN CHEPA,03,020
03021,KOTA BHARU,03,021
03022,PASIR MAS,03,022
03023,RANTAU PANJANG,03,023
03024,KUBANG KERIAN,03,024
03025,BACHOK,03,025
03026,KETEREH,03,026
03027,TANAH MERAH,03,027
03028,PASIR PUTEH,03,028
03029,MACHANG,03,029
03030,JELI,03,030
03031,KUALA KRAI,03,031
03032,GUA MUSANG,03,032
04134,MASJID TANAH,04,134
04135,ALOR GAJAH,04,135
04136,TANGGA BATU,04,136
04137,BUKIT KATIL,04,137
04138,KOTA MELAKA,04,138
04139,JASIN,04,139
05126,JELEBU,05,126
05127,JEMPOL,05,127
05128,SEREMBAN,05,128
05129,KUALA PILAH,05,129
05130,RASAH,05,130
05131,REMBAU,05,131
05132,TELOK KEMANG,05,132
05133,TAMPIN,05,133
06078,CAMERON HIGHLANDS,06,078
06079,LIPIS,06,079
06080,RAUB,06,080
06081,JERANTUT,06,081
06082,INDERA MAHKOTA,06,082
06083,KUANTAN,06,083
06084,PAYA BESAR,06,084
06085,PEKAN,06,085
06086,MARAN,06,086
06087,KUALA KRAU,06,087
06088,TEMERLOH,06,088
06089,BENTONG,06,089
06090,BERA,06,090
06091,ROMPIN,06,091
07041,KEPALA BATAS,07,041
07042,TASEK GELUGOR,07,042
07043,BAGAN,07,043
07044,PERMATANG PAUH,07,044
07045,BUKIT MERTAJAM,07,045
07046,BATU KAWAN,07,046
07047,NIBONG TEBAL,07,047
07048,BUKIT BENDERA,07,048
07049,TANJONG,07,049
07050,JELUTONG,07,050
07051,BUKIT GELUGOR,07,051
07052,BAYAN BARU,07,052
07053,BALIK PULAU,07,053
08054,GERIK,08,054
08055,LENGGONG,08,055
08056,LARUT,08,056
08057,PARIT BUNTAR,08,057
08058,BAGAN SERAI,08,058
08059,BUKIT GANTANG,08,059
08060,TAIPING,08,060
08061,PADANG RENGAS,08,061
08062,SUNGAI SIPUT,08,062
08063,TAMBUN,08,063
08064,IPOH TIMOR,08,064
08065,IPOH BARAT,08,065
08066,BATU GAJAH,08,066
08067,KUALA KANGSAR,08,067
08068,BERUAS,08,068
08069,PARIT,08,069
08070,KAMPAR,08,070
08071,GOPENG,08,071
08072,TAPAH,08,072
08073,PASIR SALAK,08,073
08074,LUMUT,08,074
08075,BAGAN DATOK,08,075
08076,TELOK INTAN,08,076
08077,TANJONG MALIM,08,077
09001,PADANG BESAR,09,001
09002,KANGAR,09,002
09003,ARAU,09,003
10092,SABAK BERNAM,10,092
10093,SUNGAI BESAR,10,093
10094,HULU SELANGOR,10,094
10095,TANJONG KARANG,10,095
10096,KUALA SELANGOR,10,096
10097,SELAYANG,10,097
10098,GOMBAK,10,098
10099,AMPANG,10,099
10100,PANDAN,10,100
10101,HULU LANGAT,10,101
10102,SERDANG,10,102
10103,PUCHONG,10,103
10104,KELANA JAYA,10,104
10105,PETALING JAYA SELATAN,10,105
10106,PETALING JAYA UTARA,10,106
10107,SUBANG,10,107
10108,SHAH ALAM,10,108
10109,KAPAR,10,109
10110,KLANG,10,110
10111,KOTA RAJA,10,111
10112,KUALA LANGAT,10,112
10113,SEPANG,10,113
11033,BESUT,11,033
11034,SETIU,11,034
11035,KUALA NERUS,11,035
11036,KUALATERENGGANU,11,036
11037,MARANG,11,037
11038,HULU TERENGGANU,11,038
11039,DUNGUN,11,039
11040,KEMAMAN,11,040
12167,KUDAT,12,167
12168,KOTA MARUDU,12,168
12169,KOTA BELUD,12,169
12170,TUARAN,12,170
12171,SEPANGGAR,12,171
12172,KOTA KINABALU,12,172
12173,PUTATAN,12,173
12174,PENAMPANG,12,174
12175,PAPAR,12,175
12176,KIMANIS,12,176
12177,BEAUFORT,12,177
12178,SIPITANG,12,178
12179,RANAU,12,179
12180,KENINGAU,12,180
12181,TENOM,12,181
12182,PENSIANGAN,12,182
12183,BELURAN,12,183
12184,LIBARAN,12,184
12185,BATU SAPI,12,185
12186,SANDAKAN,12,186
12187,KINABATANGAN,12,187
12188,SILAM,12,188
12189,SEMPORNA,12,189
12190,TAWAU,12,190
12191,KALABAKAN,12,191
13192,MAS GADING,13,192
13193,SANTUBONG,13,193
13194,PETRA JAYA,13,194
13195,BANDAR KUCHING,13,195
13196,STAMPIN,13,196
13197,KOTA SAMARAHAN,13,197
13198,MAMBONG,13,198
13199,SERIAN,13,199
13200,BATANG SADONG,13,200
13201,BATANG LUPAR,13,201
13202,SRI AMAN,13,202
13203,LUBOK ANTU,13,203
13204,BETONG,13,204
13205,SARATOK,13,205
13206,TANJONG MANIS,13,206
13207,IGAN,13,207
13208,SARIKEI,13,208
13209,JULAU,13,209
13210,KANOWIT,13,210
13211,LANANG,13,211
13212,SIBU,13,212
13213,MUKAH,13,213
13214,SELANGAU,13,214
13215,KAPIT,13,215
13216,HULU RAJANG,13,216
13217,BINTULU,13,217
13218,SIBUTI,13,218
13219,MIRI,13,219
13220,BARAM,13,220
13221,LIMBANG,13,221
13222,LAWAS,13,222
14114,KEPONG,14,114
14115,BATU,14,115
14116,WANGSA MAJU,14,116
14117,SEGAMBUT,14,117
14118,SETIAWANGSA,14,118
14119,TITIWANGSA,14,119
14120,BUKIT BINTANG,14,120
14121,LEMBAH PANTAI,14,121
14122,SEPUTEH,14,122
14123,CHERAS,14,123
14124,BANDAR TUN RAZAK,14,124
15166,LABUAN,15,166
16125,PUTRAJAYA,16,125
