usahawanid,jenisperniagaan,klusterperniagaan,subkluster,purata_jualan_bulanan
J00001,E,E9,,2500
J00002,E,E2,MOTOR,
J00003,E,E2,,2000
J00004,E,E3,,
J00005,E,E5,,9000
J00006,E,E2,,20360
J00007,E,E9,,670
J00008,A,A1,,7000
J00009,A,A1,,5000
J00010,A,E5,,17520
J00011,E,E4,,900
J00012,E,E4,,1500
J00013,A,A3,,2500
J00014,C,C2,KAMBING,3000
J00015,E,E9,,6000
J00016,E,E29,,
J00017,E,E2,KERETA,83890
J00018,A,A5,PEMBUATAN TEMPE,5.942.00
J00019,E,E4,,
J00020,A,A1,,
J00021,C,C2,,1600
J00022,E,E13,,20000
J00023,B,B1,,6500
J00024,E,E1,,3000
J00025,E,E32,,
J00026,E,E4,,1100
J00027,A,A2,,
J00028,A,A1,,
J00029,B,E32,,
J00030,E,E2,JENTERA BERAT,
J00031,E,E4,,
J00032,C,C2,ITIK,
J00033,A,A7,JUS MADU EPAL,8900
J00034,E,E3,,
J00035,E,E35,JAHITAN FABRIK KUSYEN,3000
J00036,A,A4,,
J00037,E,E4,,2500
J00038,A,A7,,
J00039,E,E13,,
J00040,E,E4,,
J00041,E,E4,,
J00042,A,A4,,4000
J00043,A,A3,,6000
J00044,E,E4,,
J00045,E,E20,,1300
J00046,C,C1,,
J00047,A,A2,,2050
J00048,E,E11,,700
J00049,E,E13,,5600
J00050,E,E2,,39662
J00051,A,A3,KARIPAP FROZEN,4800
J00052,E,E9,,1800
J00053,A,A3,,
J00054,E,E9,,970
J00055,E,E29,,
J00056,E,E5,,2500
J00057,E,E4,,
J00058,A,A1,,
J00059,E,E2,,2000
J00060,E,E21,,
J00061,A,A1,,
J00062,E,E9,,2200
J00063,B,B1,,5000
J00064,A,A1,,
J00065,E,E13,,4500
J00066,A,A1,,
J00067,A,A3,,2000
J00068,E,B3,,
J00069,A,A1,,600
J00070,E,E2,,2300
J00071,A,A3,,1900
J00072,A,A3,,35000
J00073,E,E13,,
J00074,E,E15,,3300
J00075,A,A1,,
J00076,E,E4,,915
J00077,A,A5,,20000
J00078,E,E5,,
J00079,A,A3,,
J00080,C,C2,AYAM,55
J00081,E,E13,,
J00082,E,E4,,
J00083,E,E5,,2000
J00084,E,E25,,6700
J00085,E,E13,,
J00086,E,E4,,
J00087,E,E13,,2816
J00088,C,C2,ITIK,
J00089,E,E4,,
J00090,C,C2,SUSU KAMBING,1400
J00091,E,E31,,
J00092,A,A1,,10300
J00093,E,E2,,8000
J00094,E,E4,,
J00095,E,E30,,
J00096,A,A1,,1500
J00097,A,A4,,20727
J00098,A,A1,,
J00099,E,E4,,866
J00100,E,E4,,
J00101,E,E4,,
J00102,A,A1,,
J00103,B,B4,,5700
J00104,A,A1,,
J00105,E,E13,,2500
J00106,E,E2,,2500
J00107,E,E5,,6660
J00108,E,E6,,
J00109,E,E2,,
J00110,E,E13,,
J00111,E,E2,,13702
J00112,A,A1,,
J00113,E,E2,,5000
J00114,E,E13,,5500
J00115,E,E8,,
J00116,A,A4,,
J00117,E,E25,,5300
J00118,C,C1,,
J00119,A,A2,,
J00120,E,E2,,
J00121,A,A1,,
J00122,E,E2,,2000
J00123,E,E2,,3000
J00124,E,E9,,3500
J00125,A,A7,,
J00126,A,A2,,
J00127,C,C1,,
J00128,E,E2,,9222
J00129,E,E2,,2200
J00130,E,E20,,4800
J00131,A,A6,,
J00132,E,E11,,4000
J00133,E,E13,,
J00134,E,E11,,
J00135,E,E25,,6000
J00136,E,E2,,
J00137,E,E2,,5500
J00138,E,E2,,
J00139,C,C2,ITIK,6800
J00140,E,E4,,
J00141,E,E13,,2800
J00142,C,C2,,1800
J00143,E,E13,,14600
J00144,E,E20,,5500
J00145,A,A4,,1500
J00146,C,C2,,3050
J00147,A,A5,REMPAH PERAP KAMBING,5500
J00148,E,E13,,5600
J00149,A,A2,,3000
J00150,E,E13,,8600
J00151,A,A2,,6220
J00152,E,E9,,
J00153,E,,,13000
J00154,E,,,13000
J00155,A,A4,,2000
J00156,A,C2,,1100
J00157,B,E22,,8000
J00158,E,E25,,1200
J00159,A,E47,,2800
J00160,E,E4,,1800
J00161,E,E4,,1600
J00162,A,A4,,4000
J00163,A,A5,KETUPAT MINI,6900
J00164,A,A2,KARIPAP NANAS,5000
J00165,,,,
J00166,E,E9,,
J00167,E,E4,,580
J00168,E,E4,,500
J00169,E,E4,,25000
J00170,A,A1,,4500
J00171,E,E4,,1000
J00172,E,E2,,2500
J00173,A,A1,,2400
J00174,E,E9,,
J00175,E,E4,,
J00176,C,C1,CILI,
J00177,A,A3,,
J00178,A,A4,,2000
J00179,A,A2,,3000
J00180,A,A4,,500
J00181,A,A4,,2100
J00182,C,C2,KAMBING,
J00183,A,E13,,
J00184,A,A4,,6000
J00185,E,E9,,2000
J00186,A,C2,,1200
J00187,E,E4,,500
J00188,E,E9,,6000
J00189,E,E4,,
J00190,A,A3,,3500
J00191,A,A2,,1300
J00192,E,E6,,5000
J00193,E,E4,,800
J00194,E,E4,,290
J00195,A,A1,,2100
J00196,A,A3,,1500
J00197,E,E4,,1600
