Kod_PT,Bahagian_ID,Negeri_Rkod,keterangan,status
101199,1,10,PEJABAT KETUA PENGARAH,1
102199,1,10,BHG. PENGURUSAN SUMBER MANUSIA,1
103199,1,10,BAHAGIAN PENTADBIRAN,1
104199,1,10,BHG. KEWANGAN  & BELANJAWAN,1
105199,1,10,BHG. DASAR & PERANCANGAN STRATEGIK,1
106199,1,10,BAHAGIAN BEKALAN INPUT PERTANIAN,1
107199,1,10,BAHAGIAN TANAM SEMULA & PELADANGAN,1
108199,1,10,BHG. PENGEMBANGAN & PEMINDAHAN TEKNOLOGI,1
109199,1,10,BAHAGIAN PEMBANGUNAN USAHAWAN,1
111199,1,10,BHG.INSPEKTORAT & AUDIT DALAM,1
112199,1,10,BAHAGIAN TEKNOLOGI MAKLUMAT,1
113199,1,10,BAHAGIAN LATIHAN,1
114199,1,10,BAHAGIAN PRODUKTIVITI DAN PEMASARAN,1
115199,1,10,BAHAGIAN PROGRAM KHAS,1
116199,1,10,BHG. PELABURAN & PEMBANGUNAN SYARIKAT,1
117199,1,10,BAHAGIAN KOMUNIKASI KORPORAT,1
118199,1,10,BAHAGIAN KHIDMAT KEJURUTERAAN,1
220199,2,20,PEJABAT PRN - PERLIS,1
221199,2,21,PEJABAT PRN - KEDAH,1
222199,2,22,PEJABAT PRN - PULAU PINANG,1
223199,2,23,PEJABAT PRN - PERAK,1
224199,2,24,PEJABAT PRN - SELANGOR,1
225199,2,25,PEJABAT PRN - NEGERI SEMBILAN,1
226199,2,26,PEJABAT PRN - MELAKA ,1
227199,2,27,PEJABAT PRN - JOHOR,1
228199,2,28,PEJABAT PRN - PAHANG,1
229199,2,29,PEJABAT PRN - TERENGGANU,1
230199,2,30,PEJABAT PRN - KELANTAN,1
240199,2,40,PEJABAT PRN - SARAWAK,1
250199,2,50,PEJABAT PRN - SABAH,1
421199,4,21,PEJABAT PRD - BALING,1
421299,4,21,PEJABAT PRD - KULIM/BANDAR BAHARU,1
421399,4,21,PEJABAT PRD - KUALA MUDA /YAN /PENDANG,1
421499,4,21,PEJABAT PRD - SIK,1
421599,4,21,PEJABAT PRD - KOTA SETAR /KUBANG PASU /POKOK SENA /LANGKAWI,1
421699,4,21,PEJABAT PRD - PADANG TERAP,1
423199,4,23,PEJABAT PRD - PERAK HULU,1
423299,4,23,PEJABAT PRD - MANJUNG,1
423399,4,23,PEJABAT PRD - PERAK TENGAH/KINTA,1
423499,4,23,PEJABAT PRD - BATANG PADANG/ PERAK HILIR,1
423599,4,23,PEJABAT PRD - LARUT MATANG/ SELAMA/ KERIAN,1
423699,4,23,PEJABAT PRD - KUALA  KANGSAR,1
424199,4,24,PEJABAT PRD - HULU SELANGOR/ GOMBAK/ PETALING,1
425199,4,25,PEJABAT PRD - KUALA PILAH,1
425299,4,25,PEJABAT PRD - NS BARAT,1
425399,4,25,PEJABAT PRD - NS SELATAN,1
425499,4,25,PEJABAT PRD - JEMPOL,1
427199,4,27,PEJABAT PRD - SEGAMAT,1
427299,4,27,PEJABAT PRD - MUAR / TANGKAK,1
427399,4,27,PEJABAT PRD - BATU PAHAT,1
427599,4,27,PEJABAT PRD - PONTIAN,1
427699,4,27,PEJABAT PRD -  KLUANG,1
427799,4,27,PEJABAT PRD - KOTA TINGGI /JOHOR BAHRU /KULAI JAYA,1
427899,4,27,PEJABAT PRD - MERSING,1
428199,4,28,PEJABAT PRD - JERANTUT,1
428299,4,28,PEJABAT PRD - TEMERLOH,1
428399,4,28,PEJABAT PRD - PAHANG TIMUR,1
428499,4,28,PEJABAT PRD - BERA,1
428599,4,28,PEJABAT PRD - MARAN,1
428699,4,28,PEJABAT PRD - RAUB,1
428799,4,28,PEJABAT PRD - BENTONG,1
428899,4,28,PEJABAT PRD - LIPIS,1
429199,4,29,PEJABAT PRD - BESUT,1
429299,4,29,PEJABAT PRD - SETIU,1
429399,4,29,PEJABAT PRD - MARANG / KUALA TERENGGANU,1
429499,4,29,PEJABAT PRD - HULU TERENGGANU,1
429599,4,29,PEJABAT PRD - DUNGUN,1
429699,4,29,PEJABAT PRD- KEMAMAN,1
430299,4,30,PEJABAT PRJ - TANAH MERAH,1
430399,4,30,PEJABAT PRJ - KUALA KRAI,1
430499,4,30,PEJABAT PRJ - GUA MUSANG,1
430599,4,30,PEJABAT PRJ - KELANTAN UTARA,1
430799,4,30,PEJABAT PRJ - MACHANG/ PASIR PUTEH,1
430899,4,30,PEJABAT PRJ - JELI,1
440299,4,40,PEJABAT PRB - BETONG,1
440399,4,40,PEJABAT PRB - SIBU,1
440499,4,40,PEJABAT PRB - KOTA SAMARAHAN,1
440599,4,40,PEJABAT PRB - MIRI,1
450299,4,50,PEJABAT PRD - KOTA KINABALU,1
450399,4,50,PEJABAT PRD - KOTA BELUD,1
450499,4,50,PEJABAT PRD - KENINGAU,1
450599,4,50,PEJABAT PRD - TAWAU,0
450699,4,50,PEJABAT PRD - SANDAKAN,1
450799,4,50,PEJABAT PRD - BEAUFORT,1
623199,6,23,IKPK PDG RENGAS,1
625199,6,25,RISTEC NEGERI SEMBILAN,1
628199,6,28,IKPK KG.AWAH,1
630199,6,30,IKPK BUKIT SIREH,1
