U_Seksyen_ID,Seksyen,U_Negeri_ID,U_Daerah_ID,U_Mukim_ID,Status
10101000,Tiada Seksyen,1,101,10101,1
10102000,Tiada Seksyen,1,101,10102,1
10103000,Tiada Seksyen,1,101,10103,1
10104000,Tiada Seksyen,1,101,10104,1
10105000,Tiada Seksyen,1,101,10105,1
10106000,Tiada Seksyen,1,101,10106,1
10107000,Tiada Seksyen,1,101,10107,1
10108000,Tiada Seksyen,1,101,10108,1
10109000,Tiada Seksyen,1,101,10109,1
10110000,Tiada Seksyen,1,101,10110,1
10111000,Tiada Seksyen,1,101,10111,1
10112000,Tiada Seksyen,1,101,10112,1
10113000,Tiada Seksyen,1,101,10113,1
10114000,Tiada Seksyen,1,101,10114,1
10140000,Tiada Seksyen,1,101,10140,1
10141000,Tiada Seksyen,1,101,10141,1
10142000,Tiada Seksyen,1,101,10142,1
10143000,Tiada Seksyen,1,101,10143,1
10144000,Tiada Seksyen,1,101,10144,1
10201000,Tiada Seksyen,1,102,10201,1
10202000,Tiada Seksyen,1,102,10202,1
10203000,Tiada Seksyen,1,102,10203,1
10206000,Tiada Seksyen,1,102,10206,1
10207000,Tiada Seksyen,1,102,10207,1
10208000,Tiada Seksyen,1,102,10208,1
10240000,Tiada Seksyen,1,102,10240,1
10242000,Tiada Seksyen,1,102,10242,1
10301000,Tiada Seksyen,1,103,10301,1
10302000,Tiada Seksyen,1,103,10302,1
10303000,Tiada Seksyen,1,103,10303,1
10304000,Tiada Seksyen,1,103,10304,1
10305000,Tiada Seksyen,1,103,10305,1
10306000,Tiada Seksyen,1,103,10306,1
10307000,Tiada Seksyen,1,103,10307,1
10308000,Tiada Seksyen,1,103,10308,1
10340000,Tiada Seksyen,1,103,10340,1
10341000,Tiada Seksyen,1,103,10341,1
10342000,Tiada Seksyen,1,103,10342,1
10401000,Tiada Seksyen,1,104,10401,1
10402000,Tiada Seksyen,1,104,10402,1
10403000,Tiada Seksyen,1,104,10403,1
10404000,Tiada Seksyen,1,104,10404,1
10405000,Tiada Seksyen,1,104,10405,1
10406000,Tiada Seksyen,1,104,10406,1
10407000,Tiada Seksyen,1,104,10407,1
10408000,Tiada Seksyen,1,104,10408,1
10409000,Tiada Seksyen,1,104,10409,1
10410000,Tiada Seksyen,1,104,10410,1
10440000,Tiada Seksyen,1,104,10440,1
10501000,Tiada Seksyen,1,105,10501,1
10502000,Tiada Seksyen,1,105,10502,1
10503000,Tiada Seksyen,1,105,10503,1
10504000,Tiada Seksyen,1,105,10504,1
