usahawanid,namasyarikat,nodaftarssm,tahunmulaoperasi,bilanganpekerja,alamat1_ssm,alamat2_ssm,alamat3_ssm
J00001,FF FOOD & SERVICE ENTERPRISE,JR0097309-H,2015,5,"NO, 27A, JLN MUAR,85200 JEMENTAH, SEGAMAT","JEMENTAH, 82000","SEGAMAT, JOHOR"
J00002,ROZITA WAHAB ENTERPRISE,JM0829816-M,2013,2,"140 FELCRA BATU 3 1/2, PALOH","KLUANG, 86600","KLUANG, JOHOR"
J00003,AHM MOTOR WORKSHOP,MA0106774-H,2013,0,"78, PDG. LALNG, KG. JAWA","SEGAMAT, 85000","SEGAMAT, JOHOR"
J00004,ABDUL MUEIZ BIN KAMSER,JR059945-D,2015,2,"232 JALAN MERBAH, FELDA KAHANG TIMUR","KLUANG, 86000","KLUANG, JOHOR"
J00005,AIM NIAGA JAYA,JR0038867-D,,2,"25-4 JLN HJ YUSOF, BATU 18 PEKAN PAGOH","MUAR, 84600","MUAR, JOHOR"
J00006,PLOM MOTOR,,,2,NO 21 LOT 2078 JLN KAMPUNG RAJA PAGOH,"MUAR, 84600","MUAR, JOHOR"
J00007,,,2016,2,"NO. 19, JALAN DAUD, KAMPUNG PAYA MERAH, 85300 LABIS, JOHOR.","LABIS, 85300","SEGAMAT, JOHOR"
J00008,7 A ABDUL ENTERPRISE,JR0097602-M,2017,4,"TAMAN YAYASAN,85000 SEGAMAT , JOHOR","SEGAMAT, 85000","SEGAMAT, JOHOR"
J00009,PAK LAH MARKETING,JR0071430-K,,13,NO.92 JALAN BAKRI BATU 5 3/4,"MUAR, 84200","MUAR, JOHOR"
J00010,ABU BAKAR BIN ABD SAMAD,JR0058875-D,,0,"NO 1, JALAN MAHMOD JERAM, BUKIT BATU BAKRI","MUAR, 84200","MUAR, JOHOR"
J00011,NAIM TENANG ENTERPRISE,JR0030058-P,2016,2,"NO. 41 JALAN JASA SEPAKAT, KAMPUNG TENANG, 85300 LABIS JOHOR","LABIS, 85300","SEGAMAT, JOHOR"
J00012,VALIQA RESOURCES,JR0087766-H,,,84 JLN JAYA PARIT MEDAN,"TANGKAK, 84710","TANGKAK, JOHOR"
J00013,KHAIR SALAI FOOD ,JR0092127- T,2016,2,"LOT 1456 KG JUASEH, PEKAN AIR PANAS, 85300 LABIS, JOHOR","LABIS, 85300","SEGAMAT, JOHOR"
J00014,MK SOUTHERN VENTURE,JM0831621-X,2016,2,"27, JALAN 2, TAMAN PALOH","PALOH, 86600","KLUANG, JOHOR"
J00015,D PELADANG KAFE & KATERING,CA0273892,2017,4,"KAMPUNG AWAT, BULOH KASAP 85010 SEGAMAT, JOHOR","SEGAMAT, 85000","SEGAMAT, JOHOR"
J00016,ALIAS BIN ALIME,JR0108471-H,2015,2,"NO. 71, JALAN KARDI KAMPUNG JAWA, 85400 CHAAH, JOHHOR","SEGAMAT, 85400","SEGAMAT, JOHOR"
J00017,ALIAS SUCCESS AUTO SUPPLY,JM0534236-W,2016,7,"NO 30 , JALAN SERI IMPIAN 5/5, BANDAR SERI IMPIAN,","KLUANG, 86000","KLUANG, JOHOR"
J00018,LEELY ZAM ENTERPRISE,JM0747587-X,2017,2,"NO6 STAFF QUATERS, LADANG BUKIT PALOH,","PALOH, 86600","KLUANG, JOHOR"
J00019,IETA CURTAIN COLLECTIONS,MA0246497-M,,1,"KBB 50 LOT 27408, KAMPUNG BUKIT BANJAR","TANGKAK, 84900","TANGKAK, JOHOR"
J00020,EDARAN SHARIPAH ENTERPRISE,JR0023761-H,,,"TL 71(2) KG SRI MAAMUR, TANGKAK","TANGKAK, 84900","TANGKAK, JOHOR"
J00021,MADU KELULUT TENANG,JR0102099-M,2014,2,"NO. 2, JALAN TOK GURU, KG. TENANG, LABIS, 85300 SEGAMAT, JOHOR","LABIS, 85300","SEGAMAT, JOHOR"
J00022,DLICIOUS KITCHEN & CATERING,JM0760950-P,2016,5,"NO 2 JALAN INTAN 5/7, TAMAN INTAN","KLUANG, 86000","KLUANG, JOHOR"
J00023,KAYU WARISAN ENTERPRISE,JR0038702-X,2015,5,"LOT 5905 JLN. SAWAH BARU, PEKAN AIR PANAS LABIS","LABIS, 85300","SEGAMAT, JOHOR"
J00024,,,2017,2,KAMPUNG MENSUDUT PINDAH,"SEGAMAT, 85000","SEGAMAT, JOHOR"
J00025,CDH CHINTA D HOME SPA,2.00E+12,2017,1,"195 LORONG HJ KAMAT, KAMPUNG TENGAH","KLUANG, 86000","KLUANG, JOHOR"
J00026,,,2010,1,"JLN. ARINA 9, KG. BKT KLEDANG JEMENTAH","JEMENTAH, 85200","SEGAMAT, JOHOR"
J00027,GIHA CAMING ENTERPRISE,JM0673038-W,2016,1,"NO 5,JLN REKAMAS 3/15, TAMAN REKAMAS 3,","SIMPANG RENGGAM, 86200","KLUANG, JOHOR"
